;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EVTDESC187890;There are a growing number of Freemasons within Brazilian churches, which is nominally prohibited in Catholicism - they exist most commonly within Lay Fraternities, which are generally charitable organizations chiefly associated with local churches, though technically independent in their operation. Historically, however, the church in Brazil has been an apparatus of the state, rather than being independent, thus making religious issues in Brazil matters of the state, not the Catholic Church. Local bishops have been calling for Freemason clergymen to resign, including a man named Dom Vital, who has issued an interdict against certain Lay Fraternities that have refused to have their Freemason brothers resign, preventing any sacraments from being celebrated within these Fraternity buildings. This goes against the state control of the Church, so the Lay brothers say, and is a direct challenge to government power considering that certain members of Parliament are noted Freemasons.;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EVTDESC187892;Dom Vidal has refused to annul his controversial interdict, and has been joined in protest by the bishop Antonio de Macedo Costa, who has recently passed a similar interdict against uncooperative Lay Fraternities. This refusal could be used as a reason to arrest and imprison the bishops, hopefully preventing them from causing more trouble in the future, and to remove them as challenges to the authority of the state.;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EVTDESC187894;Vidal and Costa have been imprisoned for acting against the power of the sovereign Brazilian state, causing shock and anger amongst the Catholic populace in the country. The New Prime Minister, a Freemason and a Catholic himself, has called for his own resignation in the case that amnesty is not granted to Costa and Vidal. We have little choice at this point, considering that keeping the bishops in prison would only lead to the government crumbling. It seems we've been dragged into a situation in which we cannot end things positively.;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EVTDESC187900;With the Civil War having swung in favour of the Confederate States, there is a growing secessionist movement in the city of New York, with locals calling for New York City to leave the Union and follow its own, independent path. With each passing day this movement gains more popularity, and this certainly will cause a problem in the future.;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EVTDESC187901;The inevitable has come to pass. The city of New York has ordered a referendum amongst the people, calling for secession from the United States of America. The results, legitimate or otherwise, show that the people of New York are overwhelmingly in favour of secession, and the city's officials have made it abundantly clear that, should independence be denied, there will be another Civil War at hand.;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EVTDESC187902;We are at war for our freedom! This conflict will not be an easy one, but there certainly must be other countries that can aid us in achieving the independence that we need. Shall we seek them out, or face American wrath alone?;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EVTDESC187903;Civil war rages in America, and the people of New York City have requested that we aid them in their conflict. If we choose to do so, it may anger people within our own country who seek independence, and certainly the Americans will be less than pleased.;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EVTDESC187904;Diplomats from $FROMCOUNTRY$ have declared that their nation is fully in support of New York's independence, and that we can expect to see $FROMCOUNTRY_ADJ$ military and economic aid in the times to come.;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NYALLYTITLE;$FROMCOUNTRY$ Stands With Us!;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EVTDESC187905;At last, we have earned our independence from the tyranny of the United States. We are free to define our own destiny, to forge the path we choose as we march into the future. May the light of freedom forever shine upon New York!;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
declaration_independence_ny_title;Declaration of Independence;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
declaration_independence_ny_desc;Now that we are de facto independent from the Union, we should confirm this as a constitutional truth, and set ourselves as being apart from the country we have seceded from. This way, the United States will have less of a claim on our territory, and we can exist in peace, albeit a potentially fragile one.;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
claim_ny_state_title;Claim the State of New York;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
claim_ny_state_desc;We currently control the city of New York, and though this is a strong hub for our new country, it is still small. Being the heart of New York state before we achieved independence, we can justify a claim to the whole of New York State, though we would not be able to remove the Union's claim on this region as we did with our capital city.;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
land_of_freedom_ny;Land of Freedom;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
land_of_freedom_ny_desc;We are a land of opportunity for the less fortunate of the world, helping to free the oppressed from their fates, allowing them to seek something new, something better, in our great country.;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
maroon;Maroon;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
aberdeen_act_title;Aberdeen Act;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
aberdeen_act_desc;In the 1820s, the Brazilian government signed legislature to formally end the slave trade in their country, but this law is not put into force. As the primary force in the world against the evils of slavery, it falls upon us to ensure that Brazil follows international conventions and puts an end to the slave trade.;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mulatto_african_tension_title;Favour the Mulattos;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mulatto_african_tension_desc;There exists in Brazil a sharp tension between Brazilian-born blacks and mulattos, and the African slaves taken from overseas. By favouring the mulattos and granting some of them manumission in direct opposition to the Africans, we can appease Brazilian-born slaves while sparking tensions between them and the African slaves, reduicng the chances that they will rebel against us.;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mulatto_modifier;Slave Tensions;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mulatto_modifier_desc;Tensions between African-born slaves and mulatto slaves are making both groups less likely to revolt by preventing their unification against their slave masters.;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EVTDESC187910;Inspired by the liberal revolutions in Europe, a party of Liberals in Brazil, calling themselves the Praieiros, has begun stirring up tensions in our country. They hope to bring an end to slavery, and also expand Brazilian voting rights, in order to make a more free country.;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
quilombo_presence;Quilombos;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
quilombo_presence_desc;There is a hideout of escaped slaves, Maroons, in this province, and they are causing trouble for local plantations.;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EVTDESC187914;The young Dom Pedro II, Emperor of Brazil, is yet too young to rule the country, due to his father abdicating in 1831 in order to restore his daughter Maria to her rightful throne of Portugal. Until the child Emperor is of age, the country will be looked over by parliamentary officials and a court of regents.;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EVTDESC187915;After much debate, it has been decided that Pedro II, though still under the age of majority, will reign without a regency. He has proven to be a very capable young man, though he is quite shy, and he is much beloved by the people. Due to the poor rulership of the regency, it will be immediately terminated, and Dom Pedro II will officially begin his reign as Emperor of Brazil.;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EVTDESC187916;Dom Pedro II, the Magnanimous, has passed away this morning. The people of Brazil loved him until the very end, and his impeccable rulership brought a true golden age to the Empire of Brazil. Working towards the cause of abolition and civil freedom, Dom Pedro made many influential friends, with his various associates, from Friedrich Nietzsche and Alexander Graham Bell to Victor Hugo and Charles Darwin. An intellectual and a devoted emperor, in his later years he found himself disappointed with the role of a ruler, so perhaps with his passing he has achieved the happiness that eluded him all his life.;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EVTDESC187917;The imperial administration of Dom Pedro II has, with the recent coup and overthrow of the government, been reduced to dust. The emperor has officially and willingly abdicated the throne, and has not tried to retake it or resist the end of the Empire. Government of the country is being transferred to a council of able governors, and the royal family of Brazil and Portugal are hereby exiled from this country for ever more.;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dom_pedro_ii;Dom Pedro II;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
regency_modifier;Regency;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
national_speech;National Speech;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
national_speech_desc;A great speech has been delivered in our true and free democracy.;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
regency_modifier_desc;Our nation is under a fragile regency, with the monarchy lacking the power that it should truly have. Beware, for this may encourage coup attempts by disgruntled people in our country.;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dom_pedro_ii_desc;The magnanimous Dom Pedro II is the Emperor of Brazil. A powerful and respected statesman, he is beloved by the people and has an inextinguishable fire in his heart for the further freedom of his people and their continued greatness.;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
enslave_the_free_desc;Some lucky slaves have earned their freedom, or were spared enslavement in the first place. Their freedom is at an end. We will seek them out and make them work, though it will lower our standing in the world and could spark rebellion amongst the people of $COUNTRY$.;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tex_claim_rio_grande_title;Claim the Rio Grande;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tex_claim_rio_grande_desc;Proper Texan lands pass across the banks of the Rio Grande into what is considered Mexican territory. We, as a now independent nation, can claim the whole of the Rio Grande region for our own, and make it Texan as it should be.;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
progressive_society_csa;Progressive Society;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
progressive_society_csa_desc;A group of enterprising capitalists have formed a Progressive Society in this province, in an attempt to discredit slavery.;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
marxist_slaves;Marxist Slaves;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
marxist_slaves_desc;Slaves in this province have been reading and learning the ideas of Marx and other communist philosophers.;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
immigrant_workers_csa;Immigrant Workers;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
immigrant_workers_csa_desc;Factory and owners and other employers in this province have been hiring immigrants and other cheap labour, as they cost less than maintaining slaves.;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EVTDESC187925;A free man of black ancestry has given a speech at a national university. Many were impressed by his eloquence and the intelligence in his arguments against slavery, saying that 'in a land of freedom, we celebrate the sight of a man in chains.' He could become a major force in the cause of abolitionism, and already pro-slave politicians have demanded that his speeches be censored.;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EVTTITLE187926;Progressive Society in $PROVINCENAME$;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EVTDESC187926;Capitalists have formed what they call a 'Progressive Society' in $PROVINCENAME$, hoping to bring an end to slavery. Their reasoning is that slavery, as a rural, plantation-based economic model, has no place in a nation attempting to industrialize and compete in the modern economy.;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EVTTITLE187930;$PROVINCENAME$ Slaves and Marx;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EVTDESC187930;In the plantation fields of $PROVINCENAME$, the sound of 'The Internationale' can be heard more loudly and frequently than old slave songs. Many working slaves, having learned to read, have also learned about the philosophies of men like Karl Marx, and his vision of a world without social classes. What they intend should be obvious, considering their situation in our country.;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EVTTITLE187935;Cheap Labour in $PROVINCENAME$!;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EVTDESC187935;Factories dot the landscape where once there used to be plantations and farms that ran on the blood and sweat of slaves. In this new $COUNTRY$, though, employers have begun hiring cheap workers, often immigrants, because the cost of keeping slaves has become unsustainable for many. Arguments could be made against them that they are sabotaging the economy, but in a free economy, they have the right to employ whomever they choose.;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EVTDESC187940;Two Confederate diplomats, hoping to establish good relations with our country, are aboard the HMS Trent. We have received urgent news lately, however, that the American USS San Jacinto has intercepted the Trent and taken the diplomats as prisoners. This can be seen as an act of war on British territory, and many are calling for an American apology and reparations for this insult.;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EVTDESC187942;We have received word that the British, after their HMS Trent was commandeered by a Union captain on the USS San Jacinto. The Trent is carrying two Confederate diplomats, en route to Britain and France, no doubt in order to coerce them into joining the war. The British are demanding an apology from our officials and the immediate release of the diplomats, and have been making isolated showings of force along the Canadian border.;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EVTDESC187943;Delegates from the United States have apologized and released the two Confederate envoys into British care. They made several demonstrations that they would not interfere with British shipping in any way in the future, and our own officials came back quite pleased with the meeting. Of course, at this point we certainly cannot join the Confederates, or offer them any support, in light of tense Anglo-American relations as a result of the Trent affair.;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EVTDESC187944;The United States has begun to position troops along its border with our colony in Canada, making it clear that they will not back down. Official delegates from the United States government declare that what they did was only an act of war against the Confederates, but if British diplomats press the Trent issue, then the Union will consider Britain on the side of the Confederate secessionists, and react accordingly. It seems that there is no choice now but war.;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UNY;New York;;;;;;;;;;;;x
UNY_ADJ;New Yorker;;;;;;;;;;;;x
UNY_proletarian_dictatorship;Manhattan Commune;;;;;;;;;;;;x
UNY_proletarian_dictatorship_ADJ;Manhattanite;;;;;;;;;;;;x
UNY_absolute_monarchy;New Kingdom of York;;;;;;;;;;;;x
UNY_hms_government;New Kingdom of York;;;;;;;;;;;;x
UNY_prussian_constitutionalism;New Kingdom of York;;;;;;;;;;;;x
UNY_presidential_dictatorship;New York;;;;;;;;;;;;;x
UNY_fascist_dictatorship;New York State;;;;;;;;;;;;;x
UNY_liberal;Free Soil Party;;;;;;;;;;;;x
UNY_conservative;New York Conservatives;;;;;;;;;;;;x
UNY_socialist;Socialist Association;;;;;;;;;;;;x
UNY_reactionary;Young America Party;;;;;;;;;;;;x
UNY_communist;Manhattan Communists;;;;;;;;;;;;x
UNY_fascist;Cross of Liberty Party;;;;;;;;;;;;x
UNY_bourgeois_dictatorship;the Most Serene Republic of New York and Long Island;;;;;;;;;;;;x
EVTDESC187918;In the Brazilian navy, the use of the dreaded lash to discipline soldiers has been officially banned for several years. However, many white officers still use it to keep their typically black, sometimes even ex-slave crews in line, causing accusations of institutionalized discrimination in the military. Several all-black crews have recently revolted against their officers, taken control of their ships, and are in port outside $CAPITAL$, threatening to bombard the city. They are demanding amnesty and reparations, and an end to discrimination, a promise we may not be able to completely deliver.;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EVTDESC187919;Though the Atlantic slave trade has been dismantled by the British, many traders in Brazil have found ways to smuggle slaves into our country. Here in $PROVINCENAME$, new slaves have been sold into plantations; they may improve our economy, but the British may eventually catch on if we don't put an end to this.;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EVTDESC187920;Near the Bagagem River, a young slave girl has found a priceless treasure: a massive diamond, certainly one of the biggest in the world. The girl, for finding this gem, has been granted her freedom, and since then the diamond, called the Star of the South, has come into our possession.;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EVTDESC187921;In order to protect the scenery and nature of the $COUNTRY_ADJ$ wilderness, a service has been created to allow the flora and fauna of this country to thrive unhindered. This National Parks Service will prevent the natural environment from being unnecessarily overrun by human development, and will show to $COUNTRY$, her people, and the world, the true beauty of the wilderness.;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EVTDESC187922;Due to its fertile farmland, fair weather, close access to the Pacific and abundance of natural resources - including gold! - the state of California is rapidly booming in population, showing an unprecedented demographic increase due to natural increase and mass immigration. California will be an integral part of $COUNTRY$ in no time, and this upward trend does not look to be ending soon.;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EVTDESC187923;Being a constitutional monarch, our Emperor Dom Pedro II has quite a lot of time to travel the world and meet the many personalities therein. With his daughter Isabel at home as his regent, Dom Pedro is able to visit Egypt, Britain, Austria and France, speaking with intellectuals and even ordinary people. He always demands that he is treated as just a man, and not an emperor, and he has gained considerable fame overseas.;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EVTDESC187924;California's population has drastically increased over a short period of time, and while for a time this was one of the largest migrations in our country's history, it has now begun to slow, to a trickle. California is still booming, but perhaps not as strongly as before.;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
california_boom_modifier;California Boom;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
california_boom_modifier_desc;Set sail for sunny California!;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
california_slow_boom_modifier;California Boom;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
california_slow_boom_modifier_desc;Set sail for sunny California!;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
